Ablabesmyia.type,Arctopelopia...Thienemannimyia,Chaetocladius,Chironomus.anthracinus.type,Chironomus.plumosus.type,Chironomus.undifferentiated,Corynoneura.arctica,Corynoneura.lobata.type,Cricotopus.sylvestris,Cricotopus.laricomalis,Cricotopus.cylindraceus.type,Cricotopus.intersectus,Cricotopus.tremulus.group,Cricotopus.undifferentiated,Diamesa.arctica,Diamesa.z,Diamesa.bertrami,Diamesa.undifferentiated,Dicrotendipes,Eukiefferiella.claripennis.type,Eukiefferiella.fittkaui,Eukiefferiella.undiff.,Heterotrissocladius.grimshawii,Limnophyes...Paralimnophyes,Metriocnemus,Micropsectra.contracta,Micropsectra.insignilobus.type,Micropsectra.radialis.type,Micropsectra.undifferentiated,Oliveridia,Orthocladius.consobrinus,Orthocladius.oliveri,Orthocladius.type.i,Parochlus,Paramerina.type,Paracladopelma,Parakiefferiella.sp.B,Paraphenocladius,Paratanytarsus.undiff,Procladius,Psectrocladius.barmimanus,Psectrocladius.sordidellus,Pseudodiamesa,Pseudosmittia,Rheocricotopus,Smittia...Parasmittia,Tanytarsus.gracilentus.type,Tanytarsus.lugens,Thienemanniella
0,0,0,3.16091954,0,0.574712644,2.873563218,0,0,0,0,0,2.298850575,0.574712644,0,0.574712644,0,0,0,0.574712644,0.862068966,0,41.66666667,0,0,0,3.448275862,0.574712644,0,0,1.149425287,0,0,0,0,1.724137931,0,0,0,0.574712644,2.298850575,20.40229885,0,0,0,0,0,15.51724138,0.574712644
0,0,0,3.50877193,0,0,0,0,2.339181287,0,0,0,2.923976608,0,0,0,0,0,0,0,0,0,34.50292398,0,0,1.169590643,22.22222222,3.50877193,0,0,1.169590643,0,0,0,0,0.584795322,0,0,0,1.169590643,0,9.941520468,0,0,0,0,0,14.61988304,0
0,0,0,4.275534442,0.475059382,0,1.90023753,3.325415677,4.513064133,0,0,0,0,0,0,0.475059382,0,0,0.475059382,0,0.475059382,0,15.67695962,0,0,0,13.30166271,0.950118765,0,0,2.850356295,0,0,0,0,0.950118765,0,0.475059382,0,1.425178147,1.90023753,39.42992874,0,0,0,0,0,7.125890736,0
3.773584906,0,0,2.51572327,0,2.51572327,10.06289308,0,0,1.257861635,0,0,5.660377358,5.031446541,0,0,0,1.257861635,0,1.257861635,3.773584906,1.257861635,19.49685535,0,0,0,0,5.031446541,1.257861635,0,0,0,0,0,0,0,0,0,0,0,0,28.30188679,0,0,0,0,0,0,5.031446541
16.55172414,3.448275862,0,5.517241379,0.689655172,0,0.689655172,0,0,0,0.344827586,0,4.827586207,0,0,0,0,0,0,1.379310345,0,0.344827586,17.24137931,0.344827586,0,0,1.034482759,1.379310345,0,0,0,1.379310345,0,0,0,0,0,0,0,0,1.379310345,37.5862069,0,0,2.068965517,0,0,0,1.379310345
0,1.990049751,0,0,0,0,0.995024876,0,0,0,0,0.995024876,0,0,0,0,0,0,0,0,0,0,29.85074627,0,0,14.92537313,17.91044776,6.965174129,0,0,0,0,0.995024876,0,0,2.985074627,0,0,0,1.990049751,0,11.44278607,0,0,0,0,0,2.985074627,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.547169811,0,1.886792453,0,0,0,0.943396226,8.490566038,0,0,0,3.773584906,1.886792453,0,0,0,14.1509434,0,0,0,0,0,0,0,0,0,9.433962264,0,0,0.943396226,0,0,35.8490566,15.09433962
0,0,0,0,0,0,0,0,1.62601626,0,0,0,0,0,0,0,0,0,0,0,0,0,11.38211382,0,0,1.62601626,56.91056911,13.00813008,0,0,0,0,0,0,0,6.504065041,0,0,0,0,0,7.317073171,0,0,0,0,0,1.62601626,0
0,0.682593857,0,0,0,0,0,0,0,0,0,0,0,0,0,0.682593857,0,0,0,0,0,0,6.484641638,0.682593857,0,8.873720137,16.04095563,3.412969283,0,0,4.778156997,1.706484642,0,0,0,0,0,0,0,0,0,24.91467577,0,0,0,0,0,26.62116041,0.682593857
0,0,0,0,0,0,0.854700855,0,0,0,0,0,3.418803419,0,7.264957265,11.53846154,0,2.136752137,0,0,11.11111111,3.418803419,14.52991453,0,0,0,2.564102564,0,0,0,2.564102564,5.128205128,0,0.854700855,0.854700855,1.709401709,0,0.427350427,0,0,0,2.991452991,0,1.282051282,0,0.854700855,0,0.854700855,19.65811966
0,0,0.790513834,6.324110672,0,0,0,0,0,0,0.395256917,0,5.928853755,0,0,0,0,0,0,1.581027668,0.790513834,2.766798419,36.36363636,1.976284585,0,0,3.162055336,4.347826087,0,0,3.162055336,0,0,0,0,0,0,0,0,0,0.790513834,16.2055336,0,0,0,0.790513834,0.790513834,6.719367589,5.533596838
0,0,0,8.527131783,1.550387597,0,0.775193798,0,0,0,0,0,0.775193798,0.387596899,0.775193798,0,0,0,0,0,0,0,16.66666667,0,0,1.550387597,18.60465116,6.201550388,0,0,1.162790698,0,0,0,0,0,0,0,0,0,0.775193798,28.29457364,0.775193798,0,0,0,0,8.527131783,0
0,0,0,2.23880597,0,0,1.492537313,0,0,0,0,0,2.985074627,0,0,0,0,0,0,0,0,0,17.91044776,0,1.492537313,1.492537313,17.91044776,4.47761194,6.71641791,0,1.492537313,0,0,0,0,0,0,0,0,0,1.492537313,2.985074627,0,0,0,0,1.492537313,28.35820896,0
0,0,0,0,0,0,0,0,0,0,0.662251656,0,0,0,0,0,0,0,0,0,0,0,28.47682119,1.324503311,0,0,29.13907285,1.324503311,0,0,6.622516556,0,0,0,0,0,0,0,0,0,2.649006623,16.55629139,1.324503311,0,0,0,0,7.947019868,0
0,0,0,0,0,0,0,0,0,0.740740741,0.740740741,0,0,0,0,0,0,0,0,0,4.444444444,3.703703704,28.88888889,0,0,0,25.92592593,0,0,0,4.444444444,1.481481481,0,0,0,0,0,0,0,0,0,8.888888889,0,0,0,0,0,11.85185185,3.703703704
0,0,2.419354839,0,0,0,0,0,0,0,1.612903226,0,0,0,0,4.032258065,0,0.806451613,0,0,5.64516129,1.612903226,16.93548387,1.612903226,1.612903226,0,25.80645161,3.225806452,0,0,0.806451613,0.806451613,0,0,0,1.612903226,0,0,0,1.612903226,3.225806452,7.258064516,0,0,3.225806452,1.612903226,1.612903226,4.838709677,8.064516129
0,0,0,9.418282548,0,0,1.662049861,0,0,0,0.55401662,0,1.385041551,4.432132964,0,0,0,0,0,0,0,0,14.68144044,0,0,0,8.864265928,3.324099723,2.493074792,0,4.986149584,0,10.8033241,0,0,0,0,0,0,0,0,24.93074792,0.831024931,0,0,0,0,11.08033241,0.55401662
0,1.97044335,0,2.955665025,0,0,0,1.97044335,0,0,4.433497537,0,9.359605911,4.433497537,0,0,0,0,0.985221675,2.955665025,0,0,24.13793103,0.985221675,0,1.97044335,2.955665025,0,0,0,0,1.97044335,1.97044335,0,0,2.955665025,0,0,0,3.9408867,3.9408867,16.25615764,0,0,0.985221675,0,0,5.911330049,2.955665025
0,0,0,9.022556391,1.503759398,0.751879699,1.503759398,0,0,0,1.879699248,0,2.631578947,0,0,0,0,0,0,0,0,0,23.68421053,0.37593985,0,0,1.503759398,0.751879699,0,0,2.631578947,0.751879699,0,0,0,0.751879699,0,0.751879699,0,0,1.503759398,3.383458647,2.255639098,0,0,0.751879699,0,42.85714286,0
0,0,0,14.68531469,1.398601399,0,3.496503497,0,5.594405594,0,0,0,5.594405594,6.993006993,0.699300699,0,0,0,0,0,0,0,22.02797203,0.34965035,0,0,0,0,0,0,1.748251748,0,19.58041958,0.699300699,0,0.699300699,0,0,0,0,0.699300699,14.33566434,0,0,0,0,0,1.398601399,0
0,0,0,15.59633028,0,0,7.339449541,0,3.669724771,0,0,0,5.04587156,6.880733945,0,0,0,0,0,0,0,0,8.256880734,0,0,0,0.917431193,0,0,0,5.504587156,0,16.51376147,0.458715596,0,0,0.917431193,0,0,0.917431193,1.834862385,21.10091743,0,0.458715596,0,0,0,2.752293578,0.917431193
0,0,0,1.470588235,0,0,1.470588235,0,2.205882353,0,0,0,2.205882353,2.941176471,2.205882353,0,0,0,0,1.470588235,2.573529412,0.735294118,23.16176471,0,0,0,4.044117647,0.735294118,0,0,6.25,0,2.941176471,0,0,0,0,0.367647059,0,2.205882353,1.470588235,21.69117647,0,0,0,0,0,19.85294118,0
0,0,0,5.303030303,0,0,1.515151515,0,4.545454545,0,0.757575758,0,0,3.03030303,0,0,0,0,0,0,0,0,25,0.757575758,0,0,1.515151515,0,0,0,0,0,3.787878788,0,0,0,0,2.272727273,0,10.60606061,0,17.42424242,0,0.757575758,0,0,0,18.18181818,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.578947368,5.921052632,0,0,0,2.631578947,11.84210526,3.289473684,14.47368421,0,0,0,1.315789474,5.263157895,0,0,3.289473684,9.210526316,0,0,0,0.657894737,0,0,0,0,0,2.631578947,0,0,4.605263158,1.973684211,0,0,25
0,0,0,1.515151515,0,0,0,0,1.515151515,2.272727273,3.03030303,0,1.515151515,0,0,0,0,0,0,1.515151515,0,0,26.51515152,1.515151515,0,0,5.303030303,3.03030303,0,0,0,3.03030303,0,0,0,10.60606061,0,0.757575758,0,3.03030303,1.515151515,23.48484848,0,0,0,0,0,1.515151515,7.575757576
0,1.843317972,0,25.80645161,1.843317972,0,1.843317972,0,0,0,0.921658986,0,0.921658986,3.686635945,0,0,0,0,0,0,1.382488479,0.460829493,10.59907834,0,0,0,0,2.764976959,0,0,1.843317972,11.52073733,0,0,0,2.764976959,0,0,0,1.843317972,9.216589862,10.13824885,0,0,0,0,0,0,5.529953917
0,1.015228426,0,27.41116751,3.045685279,0,0,0,4.568527919,0,0.507614213,0,1.52284264,0,0,0,0,0,8.121827411,0,0,0,3.553299492,0,0,0,0,0,0,0,0,0,2.538071066,0,0,0,0,0,1.015228426,0,4.060913706,18.78172589,0,2.030456853,0,0,2.030456853,15.2284264,0
0,1.913875598,0,3.827751196,0,0,0,0,7.416267943,1.913875598,1.196172249,0,1.435406699,5.263157895,0.4784689,1.435406699,0,0,1.435406699,0,0.717703349,0,4.545454545,0.4784689,0,0,0.4784689,0.956937799,0,0,0.4784689,0.717703349,2.153110048,0,0,0.4784689,0,0.717703349,0,0.956937799,0,3.588516746,0,0,0,0,11.48325359,44.49760766,0.4784689
0,1.360544218,0,2.721088435,0,0,1.360544218,0,0,0,2.721088435,0,2.721088435,1.360544218,0,0,0,0,1.360544218,0,2.040816327,1.360544218,44.89795918,0,0,1.360544218,1.360544218,6.12244898,0,0,3.401360544,2.040816327,0,0,0,1.360544218,0,0,0,0,4.081632653,5.442176871,0,0,0,2.040816327,0,8.163265306,0
0,0,0,19.81981982,0,0,0,0,0,0,0,0,0,0.900900901,0,0,0,0,0,0,0,0,6.306306306,0,0,1.801801802,3.603603604,0,0,0,0,0,0,0,0,0,0,0,0,5.405405405,0,1.801801802,0,4.504504505,0,0,3.603603604,43.24324324,0
0,0,0,13.79310345,0,0,1.724137931,0,9.482758621,0,0.862068966,0,0,0,0,0,0,0,0,0,0,0,18.10344828,0,0,0,3.448275862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.79310345,0,0.862068966,0,4.310344828,0,6.896551724,0
13.06122449,0,0,0,0,0,0,0,1.632653061,0,0.816326531,0,0.408163265,0,0,0,0,0,28.97959184,0,0,0,9.387755102,0,0,3.265306122,1.632653061,0,0,0,0,0,0,0,0,0.816326531,0.408163265,0,0,4.897959184,0,25.71428571,0,0,0,0,0,3.265306122,0
4.938271605,2.469135802,0,13.99176955,0,0,0,0,4.938271605,0,2.057613169,0,1.646090535,2.057613169,0,0,0,0,10.69958848,0,0,0,3.703703704,0,0,0,4.938271605,0,0,0,0,0,1.646090535,0,0,0,0,0,2.469135802,3.29218107,0,24.69135802,0,0,0,0,0,16.46090535,0
0,0,0,21.65605096,0,0,0,0,3.821656051,0,0,0,0,0.636942675,0,0,0,0,0,0,0,0,4.458598726,3.184713376,0,3.821656051,7.643312102,0,0,0,0,0,0.636942675,0,0,0,0,0,0,0,0,24.20382166,0,5.095541401,0,0.636942675,3.821656051,14.01273885,0
0.896860987,4.484304933,0,23.76681614,0,6.278026906,0.896860987,0,0,0.448430493,0,0,0.896860987,0,0,0,0,0,0,0,0,0,21.97309417,0,0,0,7.174887892,0,0,0,1.34529148,3.139013453,0,0,0,0.896860987,0,0.896860987,0,4.484304933,0,16.14349776,0,0,0,0,0,2.69058296,0
0,0,0,0,8.4,0,0.8,0,0,0.8,3.6,0,0,2.4,0,0.8,0,0.8,0,0,2.4,2,49.6,0,0,0,2.8,0,0,0,2,0,3.2,0,0,4,0,0,0,0,2.4,9.6,0,0.4,0,0,0,0,4
0,2.69058296,0,0,0,0,1.793721973,0,4.035874439,0.896860987,3.139013453,0,2.69058296,0,0,0,0,0,9.865470852,0,0,0,7.623318386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.896860987,55.15695067,0,4.035874439,0,1.34529148,0,2.69058296,0
0,1.5625,0,0,0,0,0,0,0,0,7.03125,0,0,5.46875,0,9.375,0,0,0,0,4.6875,0,36.71875,3.90625,1.5625,1.5625,1.5625,0,0,0,1.5625,0,1.5625,0,0,1.5625,0,0.78125,0,1.5625,0,4.6875,0,0.78125,0,0,0,4.6875,9.375
0,17.82178218,0,1.98019802,0,0,0,0,0,0,11.88118812,0,0,0.99009901,0,0.99009901,0,0,0,0,0.99009901,0.495049505,25.74257426,0,0,9.900990099,9.900990099,0,0,0,0,0,0,0,0,1.98019802,0,0,0,0,0,11.88118812,0,0,1.485148515,0,0,1.98019802,0.99009901
0,0,0,0,0,0,0,0,0,0,0,0,0,0.775193798,0,0,0,0,0,0,0,1.550387597,6.201550388,0,0,0,0,0,0,52.71317829,11.62790698,0,0,0,0,1.550387597,0,0,0,0,0,0.775193798,24.03100775,0,0,0,0,0,0
0,0,7.326007326,2.197802198,0,0,0.732600733,0,1.465201465,0,0.366300366,0,1.465201465,2.564102564,0,2.197802198,0,0.732600733,0,1.465201465,4.029304029,2.197802198,1.465201465,0,0,0,21.24542125,0,0,0,15.75091575,0,0,0.732600733,0,0,0,0,0,0,0,13.18681319,0,0.366300366,0,0,0,13.18681319,3.663003663
0,0,3.007518797,0,0,0,0,0,0,1.503759398,0,1.503759398,0,0,0,4.511278195,0,0,0,1.503759398,7.518796992,6.015037594,18.79699248,0,0,1.503759398,7.518796992,1.503759398,0,0,7.518796992,0,0,0,0,0,0,0,0,1.503759398,0,2.255639098,0,0,0.751879699,0,0,19.54887218,6.015037594
0,0,0.62305296,2.492211838,0,0,0.62305296,0,0,0,0.934579439,0,0,0.934579439,0,0.934579439,0,0.31152648,0,0.62305296,4.361370717,1.246105919,14.95327103,0.31152648,1.869158879,5.607476636,3.738317757,0,0,0,0,0.31152648,2.492211838,0.62305296,0,0.62305296,0,0,1.246105919,0.62305296,0,4.984423676,0,0,0,0,1.246105919,45.48286604,0.62305296
